match_id,season,date,team1,team2,venue,toss_winner,toss_decision,team1_runs,team2_runs,team1_wickets,team2_wickets,form_team1,form_team2,team1_win
257,2011,2011-04-22,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,164,156,4,9,0.6666666666666666,0.3333333333333333,1
258,2011,2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,171,175,5,1,0.6666666666666666,0.0,0
259,2011,2011-04-23,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,field,231,202,4,6,0.3333333333333333,1.0,1
260,2011,2011-04-24,Mumbai Indians,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,172,135,4,8,0.6666666666666666,0.6666666666666666,1
261,2011,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,109,111,10,2,1.0,0.0,0
262,2011,2011-04-25,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Pune Warriors,field,142,117,6,9,0.3333333333333333,0.3333333333333333,1
263,2011,2011-04-26,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,160,161,6,7,0.6666666666666666,0.3333333333333333,0
264,2011,2011-04-27,Pune Warriors,Chennai Super Kings,Dr DY Patil Sports Academy,Pune Warriors,bat,141,145,6,2,0.0,0.3333333333333333,0
265,2011,2011-04-27,Deccan Chargers,Kochi Tuskers Kerala,Nehru Stadium,Kochi Tuskers Kerala,field,129,74,7,10,0.3333333333333333,0.6666666666666666,1
266,2011,2011-04-28,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,148,131,7,9,0.3333333333333333,0.3333333333333333,1
267,2011,2011-04-29,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,94,95,8,3,1.0,0.3333333333333333,0
268,2011,2011-04-29,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Pune Warriors,field,181,155,5,5,0.6666666666666666,0.0,1
269,2011,2011-04-30,Delhi Daredevils,Kochi Tuskers Kerala,Nehru Stadium,Delhi Daredevils,bat,157,119,7,10,0.3333333333333333,0.3333333333333333,1
270,2011,2011-04-30,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,119,120,6,2,0.6666666666666666,0.3333333333333333,0
271,2011,2011-05-01,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,143,144,7,4,0.0,0.6666666666666666,0
272,2011,2011-05-01,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,165,146,5,8,0.6666666666666666,0.6666666666666666,1
273,2011,2011-05-02,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,field,159,136,5,8,0.6666666666666666,0.3333333333333333,1
274,2011,2011-05-02,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,Kochi Tuskers Kerala,field,140,141,6,3,0.3333333333333333,0.0,0
275,2011,2011-05-03,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,169,149,4,6,0.6666666666666666,0.3333333333333333,1
276,2011,2011-05-04,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,147,149,6,2,1.0,1.0,0
277,2011,2011-05-04,Mumbai Indians,Pune Warriors,Dr DY Patil Sports Academy,Pune Warriors,field,160,139,7,7,0.6666666666666666,0.0,1
278,2011,2011-05-05,Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium,Kolkata Knight Riders,field,156,139,5,7,0.3333333333333333,1.0,1
279,2011,2011-05-05,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,field,175,179,5,6,0.3333333333333333,0.3333333333333333,0
280,2011,2011-05-06,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,205,120,6,9,1.0,0.0,1
281,2011,2011-05-07,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,bat,114,61,4,2,1.0,0.6666666666666666,0
282,2011,2011-05-07,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,field,178,146,4,10,0.6666666666666666,0.6666666666666666,1
283,2011,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kochi Tuskers Kerala,bat,125,128,9,1,0.6666666666666666,1.0,0
284,2011,2011-05-08,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,119,120,8,5,0.0,0.0,0
